序号,公司名称,链接,板块,状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期
83,昌德新材科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002894,主板,终止(撤回),湖南,化学原料和化学制品制造业,"
               中信建投 
                               
          ",湖南启元律师事务所,天健会计师事务所（特殊普通合伙）,2024/7/1,2023/2/24
84,赣州海盛钨业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003409,创业板,终止(撤回),江西,有色金属冶炼和压延加工业,"
               民生证券 
                               
          ",上海市锦天城律师事务所,中审亚太会计师事务所（特殊普通合伙）,2024/6/30,2023/6/26
85,宁波福尔达智能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002311,创业板,终止(撤回),浙江,汽车制造业,"
               海通证券 
                               
          ",国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2024/6/30,2022/6/29
86,华茂伟业绿色科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002603,创业板,终止(撤回),河北,化学原料和化学制品制造业,"
               广发证券 
                               
          ",北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2024/6/29,2023/2/17
87,三技精密技术（广东）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003020,主板,终止(撤回),广东,专用设备制造业,"
               中信建投 
                               
          ",北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/29,2023/3/1
88,青岛中加特电气股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002993,主板,终止(撤回),山东,专用设备制造业,"
               中信建投 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/29,2023/2/28
89,广东皇派定制家居集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002861,主板,终止(撤回),广东,金属制品业,"
               中泰证券 
                               
          ",江苏世纪同仁律师事务所,天职国际会计师事务所（特殊普通合伙）,2024/6/28,2023/3/2
90,江苏中润光能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003239,创业板,终止(撤回),江苏,电气机械和器材制造业,"
               海通证券 
                               
          ",江苏世纪同仁律师事务所,中汇会计师事务所（特殊普通合伙）,2024/6/28,2023/5/15
91,安佑生物科技集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003451,主板,终止(撤回),江苏,农副食品加工业,国泰君安,北京市康达律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/27,2023/6/29
92,宝武碳业科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002330,创业板,终止(撤回),上海,化学原料和化学制品制造业,"
               中信证券 
                
                      华宝证券 
                               
          ",北京德恒律师事务所,安永华明会计师事务所（特殊普通合伙）,2024/6/27,2022/6/30
93,新疆阿克苏水务环保集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003042,主板,终止(撤回),新疆,电力、热力生产和供应业,"
               首创证券 
                               
          ",上海市锦天城律师事务所,中勤万信会计师事务所（特殊普通合伙）,2024/6/26,2023/3/2
94,苏州亚太精睿传动科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003439,创业板,终止(撤回),江苏,通用设备制造业,"
               中信建投 
                               
          ",上海市通力律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/26,2023/6/28
95,宁波华平智控科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002324,创业板,终止(撤回),浙江,通用设备制造业,"
               民生证券 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2024/6/25,2022/6/29
96,广东品胜电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003495,主板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",广东信达律师事务所,安永华明会计师事务所（特殊普通合伙）,2024/6/25,2023/6/30
97,北京中航科电测控技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002315,创业板,终止(撤回),北京,计算机、通信和其他电子设备制造业,"
               中金公司 
                               
          ",北京市中伦律师事务所,天健会计师事务所(特殊普通合伙),2024/6/24,2022/6/28
98,浙江美晶新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003643,创业板,终止(撤回),浙江,非金属矿物制品业,"
               国泰君安 
                               
          ",浙江天册律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/24,2023/9/27
99,南京海纳医药科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003476,创业板,终止(撤回),江苏,研究和试验发展,"
               国金证券 
                               
          ",北京国枫律师事务所,天职国际会计师事务所（特殊普通合伙）,2024/6/24,2023/6/30
100,宁波开诚生态技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003461,创业板,终止(撤回),浙江,专用设备制造业,"
               海通证券 
                               
          ",北京德恒律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/23,2023/6/28
101,厦门美科安防科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002065,创业板,终止(撤回),福建,金属制品业,东吴证券,江苏世纪同仁律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/23,2022/4/18
102,杭州宇谷科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003354,创业板,终止(撤回),浙江,互联网和相关服务,"
               中信证券 
                               
          ",北京市通商律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/23,2023/6/19
103,浙江小伦智能制造股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002288,创业板,终止(撤回),浙江,专用设备制造业,"
               海通证券 
                               
          ",北京大成律师事务所,中汇会计师事务所（特殊普通合伙）,2024/6/22,2022/6/24
104,北京国遥新天地信息技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003399,创业板,终止(撤回),北京,软件和信息技术服务业,"
               中信建投 
                               
          ",北京市天元律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/22,2023/6/28
105,宁波昌亚新材料科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003395,主板,终止(撤回),浙江,橡胶和塑料制品业,"
               国泰君安 
                               
          ",北京国枫律师事务所,毕马威华振会计师事务所（特殊普通合伙）,2024/6/22,2023/6/26
106,深圳远超智慧生活股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003032,主板,终止(撤回),广东,家具制造业,"
               华泰联合 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/21,2023/3/1
107,北京深演智能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002304,创业板,终止(撤回),北京,互联网和相关服务,"
               民生证券 
                               
          ",北京市金杜律师事务所,信永中和会计师事务所（特殊普通合伙),2024/6/21,2022/6/27
108,浙江雅虎汽车部件股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002203,创业板,终止(撤回),浙江,汽车制造业,"
               中信证券 
                               
          ",浙江天册律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/21,2022/6/22
109,广东华庄科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003473,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信建投 
                               
          ",北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024/6/20,2023/6/28
110,吉林省春城热力股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003030,主板,终止(撤回),吉林,电力、热力生产和供应业,"
               中银证券 
                               
          ",北京市嘉源律师事务所,大华会计师事务所（特殊普通合伙）,2024/6/20,2023/3/3
111,上海熙华检测技术服务股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003209,创业板,终止(撤回),上海,研究和试验发展,中信证券,北京市君合律师事务所,安永华明会计师事务所（特殊普通合伙）,2024/6/19,2023/6/30
112,侨益物流股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003023,主板,终止(撤回),广东,多式联运和运输代理业,"
               东亚前海 
                               
          ",北京市金杜律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/19,2023/3/3
113,深圳感臻智能股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003373,主板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               国金证券 
                               
          ",北京市中伦律师事务所,大华会计师事务所（特殊普通合伙）,2024/6/18,2023/6/27
114,浙江科腾精工机械股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002258,创业板,终止(撤回),浙江,通用设备制造业,"
               国元证券 
                               
          ",北京德恒律师事务所,中汇会计师事务所（特殊普通合伙）,2024/6/18,2022/6/23
115,天元航材（营口）科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003410,创业板,终止(撤回),辽宁,化学原料和化学制品制造业,"
               中信证券 
                               
          ",国浩律师（上海）事务所,天健会计师事务所（特殊普通合伙）,2024/6/17,2023/6/26
116,山东金鸿新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003730,主板,终止(撤回),山东,非金属矿物制品业,"
               中泰证券 
                               
          ",北京市汉坤律师事务所,永拓会计师事务所（特殊普通合伙）,2024/6/17,2023/12/28
117,金永和精工制造股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003504,主板,终止(撤回),山东,汽车制造业,"
               中德证券 
                               
          ",北京大成律师事务所,信永中和会计师事务所（特殊普通合伙）,2024/6/16,2023/6/30
118,深圳市斯比特技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003398,创业板,终止(撤回),广东,电气机械和器材制造业,"
               国金证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2024/6/16,2023/6/28
119,江西省江铜铜箔科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002479,创业板,终止(撤回),江西,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京德恒律师事务所,安永华明会计师事务所（特殊普通合伙）,2024/6/16,2022/9/26
