序号,公司名称,链接,板块,状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期
313,湖北汇富纳米材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002282,创业板,终止(审核不通过),湖北,化学原料和化学制品制造业,"
               国金证券 
                               
          ",上海市通力律师事务所,四川华信（集团）会计师事务所（特殊普通合伙）,2023/3/22,2022/6/30
314,辽宁垠艺生物科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002275,创业板,终止(撤回),辽宁,专用设备制造业,"
               国信证券 
                               
          ",北京德恒律师事务所,致同会计师事务所（特殊普通合伙）,2023/3/21,2022/6/27
315,黄山芯微电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002020,创业板,终止(撤回),安徽,计算机、通信和其他电子设备制造业,"
               国金证券 
                               
          ",北京国枫律师事务所,大信会计师事务所（特殊普通合伙）,2023/3/18,2022/3/7
316,东集技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002242,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               国泰君安 
                               
          ",北京卓纬律师事务所,中汇会计师事务所（特殊普通合伙）,2023/3/17,2022/6/27
317,深圳市通泰盈科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002114,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               华泰联合 
                               
          ",北京市康达律师事务所,容诚会计师事务所（特殊普通合伙）,2023/3/16,2022/5/19
318,世邦通信股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002272,创业板,终止(撤回),湖南,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",国浩律师（长沙）事务所,中审众环会计师事务所（特殊普通合伙）,2023/3/15,2022/6/28
319,浙江迅达工业科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002451,创业板,终止(撤回),浙江,汽车制造业,"
               浙商证券 
                               
          ",北京德恒律师事务所,立信会计师事务所（特殊普通合伙）,2023/3/11,2022/9/1
320,深圳易科声光科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002299,创业板,终止(撤回),广东,软件和信息技术服务业,"
               招商证券 
                               
          ",北京市环球律师事务所,天职国际会计师事务所（特殊普通合伙）,2023/3/9,2022/6/30
321,广州绿十字制药股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002303,创业板,终止(撤回),广东,医药制造业,中金公司,北京市中伦律师事务所,大华会计师事务所（特殊普通合伙）,2023/3/8,2022/6/28
322,合肥恒信动力科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002240,创业板,终止(撤回),安徽,汽车制造业,"
               中银证券 
                               
          ",北京市金杜律师事务所,毕马威华振会计师事务所（特殊普通合伙）,2023/3/7,2022/6/29
323,广州竞远安全技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002248,创业板,终止(撤回),广东,软件和信息技术服务业,"
               民生证券 
                               
          ",北京市嘉源律师事务所,华兴会计师事务所（特殊普通合伙）,2023/3/5,2022/6/24
324,上海晶宇环境工程股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002176,创业板,终止(撤回),上海,生态保护和环境治理业,"
               招商证券 
                               
          ",上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2023/3/4,2022/6/27
325,重庆广电数字传媒股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001232,创业板,终止(撤回),重庆,电信、广播电视和卫星传输服务,"
               光大证券 
                               
          ",北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2023/3/3,2020/12/29
326,上海文依电气股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002296,创业板,终止(审核不通过),上海,电气机械和器材制造业,"
               光大证券 
                               
          ",国浩律师（上海）事务所,上会会计师事务所（特殊普通合伙）,2023/3/2,2022/6/29
327,江苏网进科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002455,创业板,终止(撤回),江苏,软件和信息技术服务业,"
               华金证券 
                               
          ",安徽承义律师事务所,容诚会计师事务所（特殊普通合伙）,2023/3/2,2022/9/2
328,上海色如丹数码科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002290,创业板,终止(撤回),上海,化学原料和化学制品制造业,"
               方正承销保荐 
                               
          ",上海金茂凯德律师事务所,中审众环会计师事务所（特殊普通合伙）,2023/3/2,2022/6/28
329,润泰新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001934,创业板,终止(撤回),江苏,化学原料和化学制品制造业,"
               海通证券 
                               
          ",上海市锦天城律师事务所,中天运会计师事务所（特殊普通合伙）,2023/2/28,2021/12/27
330,芜湖映日科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002049,创业板,终止(撤回),安徽,计算机、通信和其他电子设备制造业,"
               安信证券 
                               
          ",国浩律师（杭州）事务所,立信会计师事务所（特殊普通合伙）,2023/2/27,2022/4/7
331,湖南华慧新能源股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001920,创业板,终止(撤回),湖南,电气机械和器材制造业,兴业证券,湖南启元律师事务所,天职国际会计师事务所（特殊普通合伙）,2023/2/23,2021/12/23
332,中翰盛泰生物技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002283,创业板,终止(撤回),浙江,医药制造业,"
               中泰证券 
                               
          ",北京市君合律师事务所,中汇会计师事务所（特殊普通合伙）,2023/2/23,2022/6/28
333,厦门东昂科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002485,创业板,终止(撤回),福建,电气机械和器材制造业,"
               招商证券 
                               
          ",湖南启元律师事务所,容诚会计师事务所（特殊普通合伙）,2023/2/21,2022/9/30
334,重庆蓝岸科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002492,创业板,终止(撤回),重庆,计算机、通信和其他电子设备制造业,"
               招商证券 
                               
          ",北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2023/2/20,2022/9/29
335,华翔翔能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002123,创业板,终止(撤回),湖南,电气机械和器材制造业,"
               中信建投 
                               
          ",湖南启元律师事务所,天职国际会计师事务所（特殊普通合伙）,2023/2/16,2022/5/24
336,山东省互联网传媒集团股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002506,创业板,终止(撤回),山东,互联网和相关服务,"
               中泰证券 
                               
          ",上海泽昌律师事务所,致同会计师事务所（特殊普通合伙）,2023/2/10,2022/10/12
337,科都电气股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002463,创业板,终止(撤回),浙江,通用设备制造业,"
               国泰君安 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2023/2/9,2022/9/13
338,太仓展新胶粘材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001548,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               东吴证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2023/2/1,2021/6/25
339,上海鸿晔电子科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002254,创业板,终止(撤回),上海,计算机、通信和其他电子设备制造业,"
               海通证券 
                               
          ",上海市海华永泰律师事务所,大信会计师事务所（特殊普通合伙）,2023/2/1,2022/6/30
340,苏州雅睿生物技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002461,创业板,终止(撤回),江苏,专用设备制造业,"
               安信证券 
                               
          ",上海市君悦律师事务所,立信会计师事务所（特殊普通合伙）,2023/1/20,2022/9/9
341,无锡卓海科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002165,创业板,终止(审核不通过),江苏,专用设备制造业,光大证券,国浩律师（南京）事务所,公证天业会计师事务所（特殊普通合伙）,2023/1/20,2022/6/14
342,艺唯科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001968,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               华泰联合 
                               
          ",上海市锦天城律师事务所,容诚会计师事务所（特殊普通合伙）,2023/1/19,2021/12/30
343,杭州本松新材料技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001966,创业板,终止(撤回),浙江,橡胶和塑料制品业,"
               财通证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2023/1/16,2021/12/30
344,上海芯龙半导体技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002215,创业板,终止(撤回),上海,软件和信息技术服务业,"
               海通证券 
                               
          ",上海市广发律师事务所,大华会计师事务所（特殊普通合伙）,2023/1/16,2022/6/29
345,沈阳宏远电磁线股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002331,创业板,终止(撤回),辽宁,电气机械和器材制造业,"
               民生证券 
                               
          ",北京国枫律师事务所,中汇会计师事务所（特殊普通合伙）,2023/1/16,2022/6/29
346,浙江硕华生命科学研究股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002019,创业板,终止(撤回),浙江,橡胶和塑料制品业,"
               民生证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2023/1/13,2022/3/4
347,珠海富士智能股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002293,创业板,终止(撤回),广东,金属制品业,"
               长城证券 
                               
          ",广东广信君达律师事务所,大华会计师事务所（特殊普通合伙）,2023/1/12,2022/6/27
348,江苏飞宇医药科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002441,创业板,终止(撤回),江苏,化学原料和化学制品制造业,"
               长江承销 
                               
          ",北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2023/1/10,2022/8/25
349,广州诗尼曼家居股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002256,创业板,终止(撤回),广东,家具制造业,"
               长城证券 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2023/1/6,2022/6/22
350,乾元浩生物股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001748,创业板,终止(撤回),北京,医药制造业,"
               中信证券 
                               
          ",北京金诚同达律师事务所,中审亚太会计师事务所（特殊普通合伙）,2023/1/4,2021/9/28
351,常州特尔玛科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001930,创业板,终止(撤回),江苏,通用设备制造业,中原证券,国浩律师（上海）事务所,立信会计师事务所（特殊普通合伙）,2022/12/29,2021/12/31
352,世纪开元智印互联科技集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002247,创业板,终止(撤回),山东,印刷和记录媒介复制业,"
               华泰联合 
                               
          ",北京德和衡律师事务所,天健会计师事务所（特殊普通合伙）,2022/12/29,2022/6/22
353,杭州国芯科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002266,创业板,终止(撤回),浙江,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2022/12/29,2022/6/28
354,杭州蓝然技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002267,创业板,终止(撤回),浙江,专用设备制造业,"
               民生证券 
                               
          ",国浩律师（杭州）事务所,中汇会计师事务所（特殊普通合伙）,2022/12/23,2022/6/24
355,杭州视芯科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002154,创业板,终止(撤回),浙江,软件和信息技术服务业,"
               海通证券 
                               
          ",北京市竞天公诚律师事务所,天健会计师事务所（特殊普通合伙）,2022/12/23,2022/6/1
356,杭州鸿世电器股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002219,创业板,终止(撤回),浙江,电气机械和器材制造业,"
               东方承销保荐 
                               
          ",北京海润天睿律师事务所,中汇会计师事务所（特殊普通合伙）,2022/12/22,2022/6/20
357,浙江瑞格智能科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002227,创业板,终止(撤回),浙江,汽车制造业,"
               海通证券 
                               
          ",北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2022/12/16,2022/6/28
358,上海创米数联智能科技发展股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002280,创业板,终止(撤回),上海,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",上海市通力律师事务所,天健会计师事务所（特殊普通合伙）,2022/12/13,2022/6/28
359,河北青竹画材科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002206,创业板,终止(撤回),河北,化学原料和化学制品制造业,"
               中信建投 
                               
          ",北京市君合律师事务所,天健会计师事务所（特殊普通合伙）,2022/12/6,2022/6/29
360,江苏吉莱微电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002336,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               长江承销 
                               
          ",江苏世纪同仁律师事务所,立信会计师事务所（特殊普通合伙）,2022/12/2,2022/6/30
361,武汉珈创生物技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002110,创业板,终止(撤回),湖北,专业技术服务业,安信证券,北京市康达律师事务所,大信会计师事务所（特殊普通合伙）,2022/11/23,2022/6/8
362,北方实验室（沈阳）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002246,创业板,终止(撤回),辽宁,软件和信息技术服务业,"
               中信建投 
                               
          ",北京市立方律师事务所,容诚会计师事务所（特殊普通合伙）,2022/11/21,2022/6/22
363,深圳市大成精密设备股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002498,创业板,终止(撤回),广东,专用设备制造业,"
               招商证券 
                               
          ",广东华商律师事务所,致同会计师事务所（特殊普通合伙）,2022/11/15,2022/9/30
364,安徽安天利信工程管理股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002037,创业板,终止(审核不通过),安徽,专业技术服务业,"
               国元证券 
                               
          ",安徽天禾律师事务所,容诚会计师事务所（特殊普通合伙）,2022/11/3,2022/3/30
365,温州聚星科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002105,创业板,终止(撤回),浙江,电气机械和器材制造业,"
               安信证券 
                               
          ",上海市锦天城律师事务所,中汇会计师事务所（特殊普通合伙）,2022/10/28,2022/5/16
366,浙江松川仪表科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001831,创业板,终止(撤回),浙江,仪器仪表制造业,"
               国泰君安 
                               
          ",国浩律师（杭州）事务所,中汇会计师事务所（特殊普通合伙）,2022/10/17,2021/11/15
367,永兴东润服饰股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001916,创业板,终止(撤回),福建,批发业,"
               广发证券 
                               
          ",北京市君合律师事务所,安永华明会计师事务所（特殊普通合伙）,2022/10/14,2021/12/29
368,北京航天和兴科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002237,创业板,终止(撤回),北京,铁路、船舶、航空航天和其他运输设备制造业,"
               国信证券 
                               
          ",北京国枫律师事务所,天健会计师事务所（特殊普通合伙）,2022/10/13,2022/6/30
369,华南新海（深圳）科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002255,创业板,终止(撤回),广东,通用设备制造业,"
               民生证券 
                               
          ",广东信达律师事务所,容诚会计师事务所（特殊普通合伙）,2022/10/11,2022/6/21
370,南京贝迪新材料科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001915,创业板,终止(审核不通过),江苏,计算机、通信和其他电子设备制造业,"
               中信建投 
                               
          ",北京德恒律师事务所,天职国际会计师事务所（特殊普通合伙）,2022/9/30,2021/12/28
371,苏州华道生物药业股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001895,创业板,终止(撤回),江苏,化学原料和化学制品制造业,华泰联合,江苏世纪同仁律师事务所,公证天业会计师事务所（特殊普通合伙）,2022/9/30,2021/12/21
372,创维电器股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001961,创业板,终止(撤回),江苏,电气机械和器材制造业,"
               中信证券 
                               
          ",北京国枫律师事务所,立信会计师事务所（特殊普通合伙）,2022/9/30,2021/12/31
373,柏承科技（昆山）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001480,创业板,终止(撤回),江苏,计算机、通信和其他电子设备制造业,"
               浙商证券 
                               
          ",北京市康达律师事务所,天健会计师事务所(特殊普通合伙),2022/9/29,2021/6/30
374,成都德芯数字科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001451,创业板,终止(撤回),四川,计算机、通信和其他电子设备制造业,"
               广发证券 
                               
          ",国浩律师（成都）事务所,立信会计师事务所（特殊普通合伙）,2022/9/28,2021/6/24
375,谷麦光电科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001892,创业板,终止(撤回),河南,计算机、通信和其他电子设备制造业,"
               长江承销 
                               
          ",广东华商律师事务所,亚太（集团）会计师事务所（特殊普通合伙）,2022/9/28,2021/12/22
376,漳州雅宝电子股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001921,创业板,终止(撤回),福建,计算机、通信和其他电子设备制造业,"
               浙商证券 
                               
          ",北京市康达律师事务所,天健会计师事务所（特殊普通合伙）,2022/9/26,2021/12/30
377,苏州维嘉科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001756,创业板,终止(审核不通过),江苏,专用设备制造业,"
               中金公司 
                               
          ",上海市通力律师事务所,容诚会计师事务所（特殊普通合伙）,2022/9/22,2021/9/29
378,广州科莱瑞迪医疗器材股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001952,创业板,终止(审核不通过),广东,专用设备制造业,"
               东兴证券 
                               
          ",广东信达律师事务所,华兴会计师事务所（特殊普通合伙）,2022/9/22,2021/12/30
379,浙江志高机械股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001886,创业板,终止(撤回),浙江,专用设备制造业,"
               东方承销保荐 
                               
          ",国浩律师（杭州）事务所,天健会计师事务所（特殊普通合伙）,2022/9/14,2021/12/29
380,珠海上富电技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001912,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信证券 
                               
          ",北京市中伦律师事务所,天健会计师事务所（特殊普通合伙）,2022/9/13,2021/12/23
381,广东科茂林产化工股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001882,创业板,终止(撤回),广东,化学原料和化学制品制造业,银河证券,北京市中伦律师事务所,信永中和会计师事务所（特殊普通合伙）,2022/9/13,2021/12/20
382,浙江和泽医药科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002087,创业板,终止(撤回),浙江,研究和试验发展,"
               东兴证券 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2022/9/9,2022/5/30
383,北京恒泰万博石油技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001796,创业板,终止(审核不通过),北京,专用设备制造业,"
               中信证券 
                               
          ",北京市海问律师事务所,立信会计师事务所（特殊普通合伙）,2022/9/8,2021/11/19
384,上海唯都市场营销策划股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001617,创业板,终止(撤回),上海,商务服务业,"
               国信证券 
                               
          ",浙江天册律师事务所,天健会计师事务所（特殊普通合伙）,2022/9/5,2021/6/30
385,速度时空信息科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001802,创业板,终止(撤回),江苏,软件和信息技术服务业,"
               国泰君安 
                               
          ",上海市通力律师事务所,大华会计师事务所（特殊普通合伙）,2022/9/1,2021/11/17
386,浙江明佳环保科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001861,创业板,终止(撤回),浙江,专用设备制造业,"
               中信建投 
                               
          ",上海市锦天城律师事务所,天健会计师事务所（特殊普通合伙）,2022/8/31,2021/12/20
387,厦门科拓通讯技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001534,创业板,终止(审核不通过),福建,软件和信息技术服务业,"
               西南证券 
                               
          ",北京市金杜律师事务所,容诚会计师事务所（特殊普通合伙）,2022/8/30,2021/6/24
388,上海联众网络信息股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001890,创业板,终止(撤回),上海,软件和信息技术服务业,"
               民生证券 
                               
          ",北京市金杜律师事务所,立信会计师事务所（特殊普通合伙）,2022/8/30,2021/12/29
389,大同齿轮传动（昆山）股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001999,创业板,终止(撤回),江苏,通用设备制造业,"
               光大证券 
                               
          ",上海市锦天城律师事务所,大华会计师事务所（特殊普通合伙）,2022/8/30,2022/6/21
390,江苏伟康洁婧医疗器械股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001760,创业板,终止(审核不通过),江苏,专用设备制造业,"
               东吴证券 
                               
          ",国浩律师（杭州）事务所,中汇会计师事务所（特殊普通合伙）,2022/8/26,2021/9/30
391,福建省格兰尼生物工程股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001889,创业板,终止(撤回),福建,废弃资源综合利用业,华福证券,上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2022/8/24,2021/12/21
392,珠海市杰理科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001732,创业板,终止(撤回),广东,计算机、通信和其他电子设备制造业,"
               中信建投 
                               
          ",国浩律师（深圳）事务所,容诚会计师事务所（特殊普通合伙）,2022/8/24,2021/9/13
393,江苏嘉好热熔胶股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001610,创业板,终止(撤回),江苏,化学原料和化学制品制造业,"
               民生证券 
                               
          ",上海市通力律师事务所,致同会计师事务所（特殊普通合伙）,2022/8/23,2021/6/30
394,武汉木仓科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001265,创业板,终止(撤回),湖北,互联网和相关服务,"
               华泰联合 
                               
          ",北京德恒律师事务所,中审众环会计师事务所（特殊普通合伙）,2022/8/22,2020/12/30
395,山东沪鸽口腔材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001932,创业板,终止(撤回),山东,专用设备制造业,"
               中原证券 
                               
          ",北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2022/8/22,2021/12/27
396,广州熵能创新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001887,创业板,终止(撤回),广东,化学原料和化学制品制造业,"
               民生证券 
                               
          ",北京市中伦律师事务所,立信会计师事务所（特殊普通合伙）,2022/8/19,2021/12/17
397,青岛有屋智能家居科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001429,创业板,终止(撤回),山东,家具制造业,"
               中泰证券 
                
                      中金公司 
                               
          ",北京德和衡律师事务所,和信会计师事务所（特殊普通合伙）,2022/8/18,2021/5/24
398,浙江亿得新材料股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001893,创业板,终止(撤回),浙江,化学原料和化学制品制造业,"
               中信证券 
                               
          ",上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2022/8/17,2021/12/21
399,正业设计股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001587,创业板,终止(撤回),黑龙江,专业技术服务业,"
               民生证券 
                               
          ",湖南启元律师事务所,立信会计师事务所（特殊普通合伙）,2022/8/16,2021/6/30
400,江西格林循环产业股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001662,创业板,终止(撤回),江西,废弃资源综合利用业,"
               东方承销保荐 
                               
          ",广东竞德律师事务所,亚太（集团）会计师事务所（特殊普通合伙）,2022/8/15,2021/7/23
401,佛山市银河兰晶科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001855,创业板,终止(撤回),广东,电气机械和器材制造业,长江承销,北京市君泽君律师事务所,广东司农会计师事务所（特殊普通合伙）,2022/8/10,2021/12/16
402,杭州小影创新科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001722,创业板,终止(撤回),浙江,软件和信息技术服务业,"
               国泰君安 
                               
          ",北京市通商律师事务所,毕马威华振会计师事务所（特殊普通合伙）,2022/8/9,2021/9/13
403,洋紫荆油墨股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001310,创业板,终止(撤回),浙江,化学原料和化学制品制造业,"
               浙商证券 
                               
          ",国浩律师(深圳)事务所,天健会计师事务所（特殊普通合伙）,2022/8/9,2021/2/3
404,四川爱联科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001611,创业板,终止(撤回),四川,计算机、通信和其他电子设备制造业,"
               中金公司 
                               
          ",北京市金杜律师事务所,信永中和会计师事务所（特殊普通合伙）,2022/8/5,2021/6/30
405,四川英创力电子科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002073,创业板,终止(撤回),四川,计算机、通信和其他电子设备制造业,"
               招商证券 
                               
          ",国浩律师（深圳）事务所,大华会计师事务所（特殊普通合伙）,2022/8/3,2022/5/11
406,深圳素士科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001838,创业板,终止(撤回),广东,电气机械和器材制造业,"
               招商证券 
                               
          ",上海市通力律师事务所,大华会计师事务所（特殊普通合伙）,2022/8/3,2021/11/22
407,天津艺虹智能包装科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001476,创业板,终止(审核不通过),天津,印刷和记录媒介复制业,"
               国金证券 
                               
          ",北京市中伦律师事务所,信永中和会计师事务所（特殊普通合伙）,2022/8/2,2021/6/29
408,北京思维造物信息科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1000951,创业板,终止(撤回),北京,软件和信息技术服务业,"
               中金公司 
                               
          ",北京植德律师事务所,容诚会计师事务所（特殊普通合伙）,2022/8/2,2020/9/25
409,湖南鑫远环境科技股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001176,创业板,终止(撤回),湖南,生态保护和环境治理业,"
               国泰君安 
                               
          ",北京市君合律师事务所,信永中和会计师事务所（特殊普通合伙）,2022/8/2,2020/12/25
410,杭州碧橙数字技术股份有限公司 ,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1001980,创业板,终止(撤回),浙江,互联网和相关服务,"
               海通证券 
                               
          ",浙江天册律师事务所（特殊普通合伙）,天健会计师事务所（特殊普通合伙）,2022/8/2,2021/12/31
