公司名称,链接,申报稿,上会稿,注册稿
苏州百胜动力机器股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002106,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_000184F53E53F53FB1C95AC58640903F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_7CB997C7E24042719BA83BB473280C11.pdf,--
广东芬尼科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003060,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_291930E50CABDE87C4457BB0F1267C654FAA56.pdf,--,--
北京高威科电气技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002329,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202306/RAS_202306_70CC95C9651044C08AF1EC77DCB646E4-1521-20231130.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202309/RAS_202309_5062A58CEA4747BDA3A429D740E20EBB-1521-20231130.pdf,--
北京开科唯识技术股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002559,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202311/RAS_202311_8538D005B10443C095E6ED446757D2B7.pdf,--,--
洛阳中超新材料股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003304,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_2920458C0C7A64A17A4A3E9A2030CDFB4658F4.pdf,--,--
机械工业第九设计研究院股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002192,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202209/RAS_202209_000183826696893FED79C077ABC1093F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_A2783BCBEE844B23A960EF1A79075EC5.pdf,--
广东图特精密五金科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003414,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_300010E01FF2BB93DF4D7EB85C410B4626DF11.pdf,--,--
杭州景杰生物科技股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1002365,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202212/RAS_202212_000184B98E2A6B3FCB951B974D2B7C3F.pdf,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202301/RAS_202301_51D8A3ECEC0E490684B762B34B84D833.pdf,--
欧菲斯集团股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003460,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_29194572571CFE6AC14A2D9B7BAE7953520A92.pdf,--,--
山东百诺医药股份有限公司,http://listing.szse.cn/projectdynamic/ipo/detail/index.html?id=1003360,http://reportdocs.static.szse.cn/UpFiles/rasinfodisc1/202406/RAS_202406_292040D4317B9267A9419B976DEBE8D178F117.pdf,--,--
