公司名称,板块,审核状态,地区,行业,保荐机构,律师事务所,会计师事务所,受理日期,更新日期,链接
四川省华盾防务科技股份有限公司,科创板,终止,四川,计算机、通信和其他电子设备制造业,中信证券股份有限公司,北京市中伦律师事务所,容诚会计师事务所（特殊普通合伙）,2024-06-24,2023-12-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=2034
安徽新远科技股份有限公司,主板,终止,安徽,化学原料和化学制品制造业,中信建投证券股份有限公司,江苏世纪同仁律师事务所,容诚会计师事务所（特殊普通合伙）,2024-06-21,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1620
浙江凤登绿能环保股份有限公司,主板,终止,浙江,废弃资源综合利用业,财通证券股份有限公司,时代九和律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-21,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1554
江苏新安电器股份有限公司,主板,终止,江苏,计算机、通信和其他电子设备制造业,东吴证券股份有限公司,国浩律师（上海）事务所,容诚会计师事务所（特殊普通合伙）,2024-06-21,2023-05-18,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1809
洛阳涧光特种装备股份有限公司,主板,终止,河南,专用设备制造业,中信证券股份有限公司,北京大成律师事务所,致同会计师事务所（特殊普通合伙）,2024-06-21,2023-03-02,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1634
昆山长鹰硬质材料科技股份有限公司,主板,终止,江苏,金属制品业,东吴证券股份有限公司,北京市环球律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-20,2023-03-01,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1602
人本股份有限公司,主板,终止,浙江,通用设备制造业,海通证券股份有限公司,北京德恒律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-20,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1561
岳阳振兴中顺新材料科技股份有限公司,主板,终止,湖南,化学原料和化学制品制造业,国泰君安证券股份有限公司,湖南启元律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-20,2023-06-29,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1897
永祺（中国）车业股份有限公司,主板,终止,江苏,铁路、船舶、航空航天和其他运输设备制造业,中信证券股份有限公司,北京大成律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-20,2023-03-04,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1732
浙江亘古电缆股份有限公司,主板,终止,浙江,电气机械和器材制造业,招商证券股份有限公司,北京国枫律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-17,2023-03-03,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1695
上海生生医药冷链科技股份有限公司,主板,终止,上海,多式联运和运输代理业,中国国际金融股份有限公司,上海市锦天城律师事务所,立信会计师事务所（特殊普通合伙）,2024-06-17,2023-06-30,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1923
新疆凯龙清洁能源股份有限公司,主板,终止,新疆,开采专业及辅助性活动,东兴证券股份有限公司,北京市中伦律师事务所,信永中和会计师事务所（特殊普通合伙）,2024-06-14,2023-06-15,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1842
青岛信芯微电子科技股份有限公司,科创板,终止,山东,软件和信息技术服务业,中国国际金融股份有限公司,北京市君合律师事务所,天健会计师事务所（特殊普通合伙）,2024-06-14,2023-06-12,https://www.sse.com.cn/listing/renewal/ipo/index_listing_detail.shtml?auditId=1823
